Thread Type,Size,Threading Shape
SL Apex,2 3/8,Pin
SLHC,2 7/8,Box
SLHT,3 1/2,
SLXP,4    ,
SLXD,4 1/2,
SLSF,5    ,
JFE Bear,5 1/2,
JFE Fox,6 5/8,
JFE Lion,7    ,
JFE Tiger,7 5/8,
,11 3/4,
